,City,Country,Cloudiness,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Yar-Sale,RU,88,1542006001,100,66.83,70.83,30.21,12.33
1,Tevaitoa,PF,20,1542006003,100,-16.78,-151.5,80.34,12.77
2,Bredasdorp,ZA,90,1542002400,82,-34.53,20.04,66.2,5.82
3,Yumen,CN,20,1542006004,56,40.29,97.04,47.49,4.32
4,Atuona,PF,76,1542006005,100,-9.8,-139.03,80.56,12.55
5,Burnie,AU,68,1542006006,94,-41.05,145.91,58.74,10.02
6,Buchanan,LR,40,1542004200,94,5.88,-10.05,75.2,3.36
7,Hasaki,JP,75,1542004200,77,35.73,140.83,66.2,2.24
8,Pangnirtung,CA,0,1542006079,98,66.15,-65.72,7.57,9.75
9,Vaini,IN,0,1542006080,29,15.34,74.49,90.28,7.34
10,Rikitea,PF,12,1542006081,100,-23.12,-134.97,71.74,9.53
11,Mataura,NZ,92,1542006081,83,-46.19,168.86,53.92,7.56
12,Mersing,MY,56,1542006082,83,2.43,103.84,86.68,6.73
13,Hilo,US,90,1542002160,73,19.71,-155.08,73.94,6.93
14,Hobart,AU,90,1542004200,63,-42.88,147.33,60.8,16.11
15,Cayenne,GF,90,1542004200,94,4.94,-52.33,75.2,5.55
16,Hithadhoo,MV,8,1542006012,99,-0.6,73.08,83.62,15.84
17,Chicago Heights,US,1,1542004500,83,41.51,-87.64,34.7,4.72
18,Hermanus,ZA,20,1542006085,68,-34.42,19.24,65.8,2.3
19,Puerto Baquerizo Moreno,EC,92,1542006014,100,-0.9,-89.6,71.52,12.93
20,Kavieng,PG,48,1542006015,100,-2.57,150.8,84.57,6.33
21,Bluff,AU,12,1542005851,27,-23.58,149.07,88.84,11.36
22,Coahuayana,MX,0,1542006017,83,18.62,-100.35,58.56,2.04
23,Suhbaatar,MN,44,1542006018,61,50.23,106.21,19.99,7.63
24,Lompoc,US,1,1542004500,60,34.64,-120.46,50.9,3.71
25,Beidao,CN,8,1542006090,80,34.57,105.89,49.11,7.07
26,Dikson,RU,20,1542006091,100,73.51,80.55,3.57,1.52
27,Busselton,AU,36,1542006020,90,-33.64,115.35,67.42,13.78
28,Samarai,PG,44,1542006021,100,-10.62,150.67,81.24,12.37
29,Cape Town,ZA,40,1542005280,72,-33.93,18.42,64.4,5.82
30,Foso,GH,0,1542006022,93,5.7,-1.29,69.27,2.82
31,Upernavik,GL,36,1542006023,100,72.79,-56.15,18.37,4.38
32,Broome,GB,0,1542003600,93,52.47,1.45,51.8,6.93
33,Turukhansk,RU,64,1542006096,80,65.8,87.96,8.16,13.82
34,Yerky,UA,76,1542006025,71,49.93,33.53,27.96,14.67
35,Petropavlovsk-Kamchatskiy,RU,40,1542002400,55,53.05,158.65,39.2,11.18
36,Kapaa,US,75,1542002160,64,22.08,-159.32,75.02,20.8
37,Ammon,US,1,1542001980,67,43.47,-111.97,21.02,9.17
38,Linxia,CN,0,1542006027,54,35.6,103.21,45.1,3.04
39,Novopokrovka,RU,88,1542006099,76,45.85,134.51,31.92,4.38
40,Ushuaia,AR,75,1542002400,66,-54.81,-68.31,50.0,18.34
41,Stade,DE,40,1542004800,93,53.6,9.48,51.8,3.36
42,Lavrentiya,RU,44,1542006028,100,65.58,-170.99,31.29,33.69
43,Carnarvon,ZA,0,1542006029,28,-30.97,22.13,72.46,4.5
44,Salamiyah,SY,92,1542006102,96,35.01,37.05,53.02,4.21
45,El Tigre,VE,0,1542005939,77,8.89,-64.25,78.27,12.44
46,Turayf,SA,90,1542002400,100,31.68,38.65,48.2,4.7
47,Labytnangi,RU,24,1542006041,83,66.66,66.39,33.58,17.18
48,Berdigestyakh,RU,12,1542006041,79,62.1,126.7,-1.16,3.38
49,Blackpool,IE,40,1542004200,87,51.91,-8.47,46.4,12.75
50,Provideniya,RU,75,1542000600,63,64.42,-173.23,28.4,15.66
51,Maldonado,UY,75,1542002400,88,-34.91,-54.96,69.8,11.41
52,Lebu,ET,20,1542006000,45,8.96,38.73,68.0,18.34
53,Kudahuvadhoo,MV,44,1542006044,100,2.67,72.89,82.86,13.15
54,Faanui,PF,36,1542006044,100,-16.48,-151.75,81.1,15.39
55,Albany,US,75,1542005640,72,42.65,-73.75,30.92,3.36
56,Klaksvik,FO,80,1542003600,87,62.23,-6.59,42.8,1.12
57,Santa Cruz de la Palma,ES,64,1542004200,77,28.68,-17.76,66.2,2.24
58,Faya,SA,0,1542002400,59,18.39,42.45,68.0,4.7
59,Charters Towers,AU,36,1542006047,45,-20.07,146.27,83.94,10.92
60,Benguela,AO,0,1542006119,96,-12.58,13.4,78.31,1.07
61,Tabou,CI,12,1542006048,100,4.42,-7.36,81.82,2.3
62,Camacha,PT,40,1542004200,63,33.08,-16.33,62.6,14.99
63,Kalabo,ZM,0,1542006049,23,-15.0,22.67,74.94,9.64
64,Punta Arenas,CL,40,1542002400,53,-53.16,-70.91,51.8,20.8
65,Tagusao,PH,80,1542006050,100,9.19,117.81,78.04,0.36
66,Yellowknife,CA,90,1542002400,85,62.45,-114.38,10.4,5.82
67,Tacoronte,ES,75,1542004200,100,28.48,-16.41,64.4,19.46
68,Ponta do Sol,BR,92,1542006051,99,-20.63,-46.0,63.82,4.54
69,Puerto Quijarro,BO,12,1542006051,75,-19.0,-57.72,80.56,4.83
70,Avarua,CK,40,1542002400,78,-21.21,-159.78,77.0,10.29
71,Kuito,AO,0,1542006124,56,-12.38,16.94,69.58,2.04
72,Amapa,HN,75,1542002400,94,15.09,-87.97,75.2,1.19
73,Barrow,AR,92,1542006053,97,-38.31,-60.23,59.59,16.58
74,Coquimbo,CL,75,1542002400,87,-29.95,-71.34,59.0,8.05
75,Bankura,IN,0,1542006054,60,23.24,87.07,84.21,4.72
76,Tibati,CM,92,1542006054,58,6.47,12.63,75.43,2.53
77,Mount Isa,AU,90,1542004200,30,-20.73,139.49,95.0,8.05
78,Jamestown,AU,44,1542006128,18,-33.21,138.6,87.13,13.27
79,Muisne,EC,68,1542006056,94,0.61,-80.02,72.82,5.5
80,Victoria,BN,75,1542004200,74,5.28,115.24,87.8,6.93
81,Doka,SD,0,1542006058,20,13.52,35.76,80.92,4.72
82,Padang,ID,12,1542006058,100,-0.92,100.36,83.22,5.21
83,New Norfolk,AU,90,1542004200,63,-42.78,147.06,60.8,16.11
84,Yendi,GH,12,1542006059,71,9.45,0.0,72.46,4.61
85,Castro,CL,0,1542006060,93,-42.48,-73.76,42.4,1.74
86,Khatanga,RU,56,1542006060,65,71.98,102.47,-14.3,5.28
87,Harboore,DK,64,1542003600,93,56.62,8.18,50.0,6.93
88,Whitianga,NZ,64,1542006061,100,-36.83,175.7,60.76,7.0
89,Alofi,NU,44,1542002400,88,-19.06,-169.92,77.0,5.82
90,Hofn,IS,92,1542006062,100,64.25,-15.21,42.49,8.9
91,Pushkar,IN,0,1542006135,38,26.49,74.56,85.24,6.11
92,Bethel,US,1,1542001980,84,60.79,-161.76,21.02,28.86
93,Chernyshevskiy,RU,56,1542006146,100,63.01,112.47,-2.2,3.49
94,Luderitz,NA,24,1542002400,93,-26.65,15.16,57.2,4.7
95,Mar del Plata,AR,0,1542005935,78,-46.43,-67.52,54.37,7.63
96,Clyde River,CA,1,1542002400,83,70.47,-68.59,-11.21,5.82
97,Iqaluit,CA,5,1542002400,70,63.75,-68.52,1.4,14.99
98,Miri,NG,0,1542006076,54,10.31,9.75,60.13,3.53
99,Vestmannaeyjar,IS,20,1542004620,100,63.44,-20.27,37.4,6.93
100,Waipawa,NZ,92,1542006078,92,-39.94,176.59,56.22,8.12
101,San Patricio,PY,8,1542006078,70,-26.98,-56.83,76.96,5.77
102,Saskylakh,RU,24,1542006079,60,71.97,114.09,-12.68,13.82
103,Arti,RU,0,1542006079,67,56.43,58.53,12.34,11.65
104,Mahebourg,MU,20,1542006000,65,-20.41,57.7,82.4,13.87
105,Teplodar,UA,90,1542004200,87,46.51,30.33,44.6,13.42
106,Bambous Virieux,MU,20,1542006000,65,-20.34,57.76,82.4,13.87
107,Qaanaaq,GL,76,1542006081,100,77.48,-69.36,1.9,10.09
108,Matagami,NG,8,1542006081,56,9.67,8.4,60.09,5.77
109,Hobyo,SO,8,1542006082,76,5.35,48.53,84.34,10.54
110,Puerto Ayora,EC,20,1542006154,100,-0.74,-90.35,71.16,13.15
111,Lingao,CN,92,1542006083,93,19.91,109.69,79.12,7.78
112,Tiksi,RU,0,1542006084,64,71.64,128.87,-3.5,12.55
113,Longyearbyen,NO,20,1542001800,57,78.22,15.63,21.2,19.46
114,Baghdad,IQ,80,1542002400,87,33.3,44.38,60.8,4.7
115,Denpasar,ID,20,1542004200,70,-8.65,115.22,87.8,12.75
116,Chuy,UY,88,1542006086,96,-33.69,-53.46,68.82,15.39
117,Alta Floresta,BR,36,1542006086,96,-9.87,-56.08,73.9,2.04
118,Arraial do Cabo,BR,48,1542006087,99,-22.97,-42.02,72.28,11.88
119,East London,ZA,40,1542004260,69,-33.02,27.91,75.2,18.34
120,Port Augusta,AU,80,1542002400,9,-32.49,137.76,93.2,11.41
121,Esperance,TT,20,1542002400,94,10.24,-61.45,77.0,5.32
122,Kidal,ML,8,1542006089,33,18.44,1.41,54.55,5.28
123,Guerrero Negro,MX,0,1542006089,68,27.97,-114.04,63.28,13.67
124,Alabaster,US,90,1542001980,86,33.24,-86.82,50.0,5.82
125,Souillac,FR,90,1542004200,93,45.6,-0.6,53.6,6.93
126,Marovoay,MG,20,1542002400,58,-16.11,46.64,86.0,6.93
127,Kaitangata,NZ,92,1542006091,100,-46.28,169.85,53.11,4.83
128,Port Elizabeth,US,1,1542002160,92,39.31,-74.98,35.96,2.98
129,Tuatapere,NZ,64,1542006092,87,-46.13,167.69,55.41,8.9
130,Maceio,BR,40,1542002400,94,-9.67,-35.74,71.6,3.36
131,Dolzhanskaya,RU,88,1542006093,100,46.63,37.8,37.36,28.43
132,Port Alfred,ZA,36,1542006093,81,-33.59,26.89,71.92,18.07
133,Millinocket,US,1,1542002160,59,45.66,-68.71,24.08,6.93
134,Storsteinnes,NO,75,1542003600,100,69.24,19.23,41.0,14.99
135,Villa Carlos Paz,AR,75,1542002400,100,-31.42,-64.5,68.0,6.93
136,Much,DE,75,1542003600,93,50.9,7.4,51.8,3.36
137,Fairlie,US,90,1542005760,92,33.31,-95.96,46.4,12.75
138,Poronaysk,RU,36,1542006105,86,49.22,143.1,37.9,7.4
139,Taltal,CL,44,1542006178,100,-25.41,-70.49,49.69,2.48
140,Constitucion,MX,44,1542006106,76,23.99,-104.67,51.09,5.61
141,Thaton,MM,8,1542006107,91,16.91,97.37,86.41,2.71
142,Okhotsk,RU,68,1542006179,100,59.36,143.24,13.96,5.99
143,San Ramon de la Nueva Oran,AR,76,1542006108,83,-23.13,-64.33,77.5,5.55
144,The Valley,AI,40,1542002400,83,18.22,-63.06,78.8,10.29
145,Husavik,CA,0,1542006109,91,50.56,-96.99,15.4,15.61
146,Escanaba,US,90,1542002160,88,45.75,-87.06,26.06,5.82
147,Roros,NO,75,1542003600,93,62.57,11.38,39.2,6.93
148,Alyangula,AU,12,1542006110,87,-13.85,136.42,88.75,14.16
149,Lufilufi,WS,75,1542002400,94,-13.87,-171.6,80.6,4.7
150,Haines Junction,CA,100,1542006085,96,60.75,-137.51,32.14,3.76
151,Vila Franca do Campo,PT,40,1542004200,67,37.72,-25.43,60.8,5.82
152,Raduzhnyy,RU,92,1542006112,89,62.1,77.47,24.76,18.59
153,Cabo San Lucas,MX,75,1542001440,88,22.89,-109.91,73.4,5.82
154,Azangaro,PE,88,1542006113,74,-14.91,-70.2,43.75,3.83
155,Zhigansk,RU,64,1542006113,78,66.77,123.37,4.87,3.53
156,Senno,RU,90,1542002400,74,57.76,27.95,35.6,11.18
157,Butaritari,KI,92,1542006114,100,3.07,172.79,85.11,10.13
158,Susangerd,IR,0,1542003660,77,31.56,48.19,69.8,4.7
159,Bandarbeyla,SO,0,1542006115,100,9.49,50.81,81.73,12.88
160,Ilulissat,GL,0,1542001800,65,69.22,-51.1,8.6,9.17
161,Tongliao,CN,0,1542006116,49,43.61,122.27,42.58,5.06
162,Pevek,RU,0,1542006116,100,69.7,170.27,-1.57,10.54
163,San Pedro,AR,92,1542006118,96,-33.68,-59.66,68.32,7.0
164,Kholtoson,RU,56,1542006118,55,50.3,103.31,34.66,6.73
165,Agadez,NE,0,1542002400,29,16.97,7.99,66.2,9.17
166,Ornskoldsvik,SE,90,1542003600,93,63.29,18.72,42.8,18.34
167,Blythe,US,1,1542001920,14,33.61,-114.59,57.92,9.17
168,Tasiilaq,GL,92,1542001800,55,65.61,-37.64,33.8,21.92
169,Soe,EE,88,1542001800,91,57.91,26.05,37.4,12.75
170,Koungheul,SN,0,1542006120,55,13.98,-14.8,68.37,9.64
171,Bud,NO,75,1542003600,93,62.91,6.91,48.2,1.12
172,Morondava,MG,0,1542006121,71,-20.3,44.28,83.44,2.86
173,Makhalino,RU,0,1542006122,71,53.09,46.22,13.33,7.52
174,Pisco,PE,0,1542002400,82,-13.71,-76.2,64.4,4.7
175,Georgetown,GY,0,1542002400,100,6.8,-58.16,71.6,2.24
176,Pine Bluff,US,90,1542002160,65,34.23,-92.0,46.04,3.36
177,Lons-le-Saunier,FR,90,1542005400,100,46.67,5.56,48.2,2.24
178,Dolores,AR,92,1542006125,97,-36.31,-57.68,67.15,13.11
179,Norman Wells,CA,75,1542002400,92,65.28,-126.83,8.6,6.06
180,Wattegama,LK,12,1542006126,80,7.35,80.68,80.11,6.29
181,Marawi,PH,92,1542006137,100,8.0,124.29,69.67,1.74
182,Brookhaven,US,1,1542004500,91,40.78,-72.92,33.08,4.21
183,Rio Gallegos,AR,40,1542002400,47,-51.62,-69.22,57.2,6.93
184,Necochea,AR,92,1542006139,97,-38.55,-58.74,59.64,17.18
185,Makokou,GA,64,1542006211,95,0.56,12.85,71.65,2.86
186,Bathsheba,BB,20,1542002400,83,13.22,-59.52,80.6,11.41
187,Leh,IN,80,1542006141,87,34.16,77.58,8.52,1.52
188,Hami,CN,0,1542006214,67,42.84,93.51,49.42,4.54
189,Chokurdakh,RU,0,1542006214,32,70.62,147.9,-21.82,2.98
190,Stawell,AU,88,1542006143,62,-37.06,142.77,72.24,8.75
191,Massakory,TD,0,1542006143,39,13.0,15.73,64.32,4.38
192,Mnogovershinnyy,RU,88,1542006144,88,53.94,139.92,32.37,9.53
193,Cockburn Town,TC,88,1542005976,100,21.46,-71.14,80.61,15.9
194,Los Llanos de Aridane,ES,64,1542004200,77,28.66,-17.92,66.2,2.24
195,Severo-Kurilsk,RU,64,1542006145,97,50.68,156.12,40.92,10.54
196,Namibe,AO,0,1542006146,100,-15.19,12.15,75.39,2.08
197,Torbay,CA,90,1542004260,100,47.66,-52.73,32.0,33.33
198,Batagay-Alyta,RU,0,1542006219,28,67.8,130.41,-20.47,2.82
199,Lagoa,PT,20,1542004200,93,37.14,-8.45,57.2,8.05
200,Cabra,ES,20,1542004200,93,37.47,-4.43,55.4,3.76
201,Gusinoye Ozero,RU,48,1542006148,62,51.11,106.26,17.97,6.4
202,Langxiang,CN,36,1542006149,74,46.95,128.87,31.29,2.86
203,Kruisfontein,ZA,20,1542006149,84,-34.0,24.73,68.01,12.93
204,Hamilton,CA,90,1542002400,100,43.26,-79.87,35.6,3.36
205,Kamenka,RU,0,1542006222,71,53.19,44.05,13.51,8.79
206,Nanortalik,GL,88,1542006151,88,60.14,-45.24,36.1,36.98
207,Saldanha,PT,80,1542006151,100,41.42,-6.55,41.41,3.6
208,Wajid,SO,80,1542006151,100,3.81,43.25,73.36,4.38
209,Birao,CF,0,1542006152,38,10.3,22.78,69.72,8.9
210,Eureka,US,1,1542003600,42,40.8,-124.16,48.2,13.87
211,Zhaotong,CN,68,1542006153,80,27.34,103.71,49.92,1.86
212,Cidreira,BR,8,1542006153,96,-30.17,-50.22,68.77,15.39
213,Polunochnoye,RU,0,1542006153,65,60.87,60.43,19.0,11.81
214,Cherskiy,RU,0,1542006154,70,68.75,161.3,-5.21,6.4
215,Dapaong,TG,12,1542006154,61,10.86,0.2,66.34,2.75
216,Oktyabrskiy,RU,0,1542002400,78,55.61,37.97,19.4,8.95
217,Nelson Bay,AU,20,1542004200,64,-32.72,152.14,71.6,14.99
218,Katsuura,JP,75,1542002400,82,33.93,134.5,57.2,3.36
219,Isangel,VU,92,1542006156,100,-19.55,169.27,74.35,21.83
220,Adelaide,AU,0,1542004200,64,-34.93,138.6,71.6,16.11
221,Codrington,AU,0,1542006157,62,-28.95,153.24,71.52,7.78
222,San Rafael del Sur,NI,8,1542006157,68,11.85,-86.44,80.11,9.53
223,Ribeira Grande,PT,76,1542006157,97,38.52,-28.7,66.52,13.94
224,Tukums,LV,90,1542003600,100,56.97,23.17,39.2,17.22
225,Sao Joao da Barra,BR,32,1542006168,100,-21.64,-41.05,75.79,14.12
226,Santa Isabel do Rio Negro,BR,12,1542006168,90,-0.41,-65.02,79.21,0.58
227,Alice Springs,AU,0,1542004200,12,-23.7,133.88,98.6,5.82
228,Moba,CD,56,1542006170,100,-7.04,29.77,69.85,7.29
229,Jalu,LY,68,1542006170,42,29.03,21.55,67.69,11.81
230,Geraldton,CA,90,1542002400,85,49.72,-86.95,15.8,2.59
231,Saint-Philippe,CA,90,1542005700,84,45.36,-73.48,26.6,2.86
232,Santa Cruz,US,1,1542004500,33,36.97,-122.03,51.08,2.82
233,Deputatskiy,RU,32,1542006173,60,69.3,139.9,-3.19,6.73
234,Vila Velha,BR,20,1542002400,78,-3.71,-38.6,80.6,12.75
235,Vydrino,RU,80,1542006174,100,51.46,104.64,13.78,9.53
236,Tigil,RU,48,1542006175,77,57.8,158.67,16.57,8.63
237,Maryville,US,90,1542004500,68,40.35,-94.87,30.92,9.17
238,Port Blair,IN,76,1542006175,100,11.67,92.75,82.72,14.67
239,Igrim,RU,92,1542006175,74,63.19,64.42,23.14,11.65
240,Richards Bay,ZA,0,1542006000,77,-28.77,32.06,62.6,3.36
241,Dafeng,CN,48,1542006176,73,33.2,120.46,61.21,10.76
242,Avera,US,75,1542004500,72,33.19,-82.53,51.8,3.36
243,Narsaq,GL,92,1542001800,35,60.91,-46.05,42.8,19.46
244,Henties Bay,NA,0,1542006177,96,-22.12,14.28,61.66,2.86
245,Natal,BR,40,1542002400,78,-5.81,-35.21,78.8,4.7
246,Amahai,ID,56,1542006178,100,-3.31,129.0,84.88,8.63
247,Inhambane,MZ,75,1542002400,50,-23.87,35.38,78.8,14.99
248,Graaff-Reinet,ZA,0,1542006179,50,-32.25,24.53,70.71,1.25
249,Tucano,BR,56,1542006179,78,-10.96,-38.79,72.73,8.9
250,Ocean City,US,90,1542004620,77,30.44,-86.61,62.96,12.75
251,Adre,TD,0,1542006180,56,13.47,22.2,67.42,2.48
252,Edd,ER,0,1542006180,59,13.93,41.69,83.67,3.83
253,Mehamn,NO,0,1542001800,75,71.03,27.85,42.8,21.92
254,Ca Mau,VN,48,1542006181,79,9.18,105.15,86.91,13.56
255,Arlit,NE,0,1542006181,42,18.74,7.39,53.74,3.2
256,Debre Birhan,ET,48,1542006182,74,9.68,39.53,60.4,2.82
257,Grand-Santi,GF,48,1542006182,89,4.27,-54.38,77.86,2.3
258,Banos,FR,90,1542004200,100,43.74,-0.62,53.6,2.24
259,Saint-Francois,FR,0,1542004200,59,46.42,3.91,64.4,13.87
260,Toyooka,JP,75,1542002400,100,35.55,134.82,59.0,1.12
261,Hendek,TR,75,1542004920,100,40.8,30.75,51.8,2.53
262,Kamina,CD,8,1542006185,83,-8.74,25.0,74.71,4.38
263,Mortka,RU,76,1542006185,72,59.33,66.02,18.46,8.75
264,Oistins,BB,20,1542002400,83,13.07,-59.53,80.6,11.41
265,Ouesso,CG,64,1542006258,98,1.61,16.05,72.01,2.98
266,Carlisle,GB,92,1542001800,100,54.89,-2.94,42.8,14.99
267,Nhulunbuy,AU,40,1542004200,66,-12.18,136.78,87.8,13.87
268,Paita,PE,12,1542006270,89,-5.09,-81.11,67.02,7.11
269,Nikolskoye,RU,90,1542002400,74,59.7,30.79,33.8,8.95
270,Timra,SE,90,1542003600,100,62.49,17.33,42.8,13.87
271,Vostok,RU,80,1542006200,78,46.45,135.83,29.53,2.86
272,New Plymouth,NZ,0,1542006183,89,-39.06,174.08,59.91,10.65
273,Cumra,TR,0,1542001800,61,37.57,32.77,46.4,6.93
274,Santiago,CL,75,1542002400,50,-33.44,-70.65,57.2,6.93
275,Sao Lourenco do Sul,BR,8,1542006202,92,-31.37,-51.98,68.68,10.8
276,Gravdal,NO,75,1542003600,93,59.79,5.78,50.0,9.17
277,Beira,ES,0,1542004980,93,43.2,-8.36,46.4,6.93
278,Pindiga,NG,0,1542006276,37,9.98,10.93,67.11,7.23
279,Sainte-Maxime,FR,90,1542004200,87,43.31,6.64,64.4,2.24
280,North Bend,US,1,1542002160,54,43.41,-124.22,51.08,4.7
